,,,,,,,,,,,,,,,
,"""Natural"" is the first 7 intervals",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Natural pitches (7 tone scale not including octave),,,,,,,Chromatic pitches (accidentals),,,,,,octave (almost),
Interval number,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,
,,,,,,,,,,,,,,,
numerator,2,,3,9,27,81,243,729,2187,6561,19683,59049,177147,531441,
denomintator,3,,2,4,8,16,32,64,128,256,512,1024,2048,4096,
factor,0.666666667,,1.5,2.25,3.375,5.0625,7.59375,11.390625,17.0859375,25.62890625,38.44335938,57.66503906,86.49755859,129.7463379,
interval frequency,352,,792,1188,1782,2673,4009.5,6014.25,9021.375,13532.0625,20298.09375,30447.14063,45670.71094,68506.06641,
octave,-1,,0,1,1,2,2,3,4,4,5,5,6,7,
octave denominator,0.5,,1,2,2,4,4,8,16,16,32,32,64,128,
factor (octave adjusted),1.333333333,,1.5,1.125,1.6875,1.265625,1.8984375,1.423828125,1.067871094,1.601806641,1.20135498,1.802032471,1.351524353,1.013643265,
Final frequency,704.00,528.00,792.00,594.00,891.00,668.25,1002.38,751.78,563.84,845.75,634.32,951.47,713.60,535.20,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,diff:,Hz ,7.20,
,,,,,,,,,,,,diff:,Cents,23.46001038,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
